"n","org_trans","stemm","tokens1","tokens2","tokens3","tokens4","tokens5"
2,"layout artist","layout artist","layout","artist",NA,NA,NA
1,"lead","lead","lead",NA,NA,NA,NA
2,"lead auditor","lead auditor","lead","auditor",NA,NA,NA
3,"lead business analyst","lead busi analyst","lead","busi","analyst",NA,NA
2,"head cashier","head cashier","head","cashier",NA,NA,NA
2,"lead consultant","lead consult","lead","consult",NA,NA,NA
2,"lead cook","lead cook","lead","cook",NA,NA,NA
2,"lead designer","lead design","lead","design",NA,NA,NA
2,"lead developer","lead develop","lead","develop",NA,NA,NA
2,"lead electrician","lead electrician","lead","electrician",NA,NA,NA
2,"lead engineer","lead engin","lead","engin",NA,NA,NA
3,"lead graphic designer","lead graphic design","lead","graphic","design",NA,NA
2,"lead instructor","lead instructor","lead","instructor",NA,NA,NA
3,"lead line cook","lead line cook","lead","line","cook",NA,NA
2,"lead mechanic","lead mechan","lead","mechan",NA,NA,NA
2,"lead pastor","lead pastor","lead","pastor",NA,NA,NA
2,"lead programmer","lead programm","lead","programm",NA,NA,NA
3,"lead project manager","lead project manag","lead","project","manag",NA,NA
2,"lead recruiter","lead recruit","lead","recruit",NA,NA,NA
3,"lead software developer","lead softwar develop","lead","softwar","develop",NA,NA
3,"lead software engineer","lead softwar engin","lead","softwar","engin",NA,NA
2,"lead teacher","lead teacher","lead","teacher",NA,NA,NA
2,"lead technician","lead technician","lead","technician",NA,NA,NA
2,"lead teller","lead teller","lead","teller",NA,NA,NA
1,"leader","leader","leader",NA,NA,NA,NA
6,"learning  and  development manager","learn and develop manag","learn","develop","manag",NA,NA
2,"learning specialist","learn specialist","learn","specialist",NA,NA,NA
3,"learning support assistant","learn support assist","learn","support","assist",NA,NA
2,"leasing agent","leas agent","leas","agent",NA,NA,NA
2,"leasing consultant","leas consult","leas","consult",NA,NA,NA
2,"leasing manager","leas manag","leas","manag",NA,NA,NA
2,"leasing professional","leas profession","leas","profession",NA,NA,NA
1,"reader","reader","reader",NA,NA,NA,NA
1,"lecturer","lectur","lectur",NA,NA,NA,NA
3,"lecturer in english","lectur in english","lectur","english",NA,NA,NA
1,"leader","leader","leader",NA,NA,NA,NA
1,"teacher","teacher","teacher",NA,NA,NA,NA
1,"legal","legal","legal",NA,NA,NA,NA
3,"legal administrative assistant","legal administr assist","legal","administr","assist",NA,NA
2,"legal advisor","legal advisor","legal","advisor",NA,NA,NA
2,"legal advisor","legal advisor","legal","advisor",NA,NA,NA
2,"legal assistant","legal assist","legal","assist",NA,NA,NA
2,"legal consultant","legal consult","legal","consult",NA,NA,NA
2,"legal counsel","legal counsel","legal","counsel",NA,NA,NA
2,"legal executive","legal execut","legal","execut",NA,NA,NA
1,"legally","legal","legal",NA,NA,NA,NA
2,"legal intern","legal intern","legal","intern",NA,NA,NA
2,"legal manager","legal manag","legal","manag",NA,NA,NA
2,"legal officer","legal offic","legal","offic",NA,NA,NA
2,"legal researcher","legal research","legal","research",NA,NA,NA
2,"legal secretary","legal secretari","legal","secretari",NA,NA,NA
2,"legal specialist","legal specialist","legal","specialist",NA,NA,NA
2,"legal trainee","legal traine","legal","traine",NA,NA,NA
2,"legal help","legal help","legal","help",NA,NA,NA
2,"legislative assistant","legisl assist","legisl","assist",NA,NA,NA
2,"intern legislation","intern legisl","intern","legisl",NA,NA,NA
1,"teacher","teacher","teacher",NA,NA,NA,NA
1,"teacher","teacher","teacher",NA,NA,NA,NA
1,"lector","lector","lector",NA,NA,NA,NA
1,"postman","postman","postman",NA,NA,NA,NA
2,"level designer","level design","level","design",NA,NA,NA
2,"liaison officer","liaison offic","liaison","offic",NA,NA,NA
1,"freelancer","freelanc","freelanc",NA,NA,NA,NA
1,"bookseller","booksel","booksel",NA,NA,NA,NA
1,"librarian","librarian","librarian",NA,NA,NA,NA
2,"library assistant","librari assist","librari","assist",NA,NA,NA
2,"library director","librari director","librari","director",NA,NA,NA
4,"licensed clinical social worker","licens clinic social worker","licens","clinic","social","worker",NA
3,"licensed insurance agent","licens insur agent","licens","insur","agent",NA,NA
3,"licensed massage therapist","licens massag therapist","licens","massag","therapist",NA,NA
4,"licensed mental health counselor","licens mental health counselor","licens","mental","health","counselor",NA
3,"licensed practical nurse","licens practic nurs","licens","practic","nurs",NA,NA
3,"licensed professional counselor","licens profession counselor","licens","profession","counselor",NA,NA
4,"licensed real estate agent","licens real estat agent","licens","real","estat","agent",NA
4,"licensed real estate salesperson","licens real estat salesperson","licens","real","estat","salesperson",NA
2,"licensed realtor","licens realtor","licens","realtor",NA,NA,NA
5,"member of the supervisory board","member of the supervisori board","member","supervisori","board",NA,NA
1,"leader","leader","leader",NA,NA,NA,NA
2,"project leader","project leader","project","leader",NA,NA,NA
1,"lieutenant","lieuten","lieuten",NA,NA,NA,NA
2,"life coach","life coach","life","coach",NA,NA,NA
3,"life insurance agent","life insur agent","life","insur","agent",NA,NA
1,"lifeguard","lifeguard","lifeguard",NA,NA,NA,NA
2,"lighting designer","light design","light","design",NA,NA,NA
2,"lighting technician","light technician","light","technician",NA,NA,NA
2,"line cook","line cook","line","cook",NA,NA,NA
2,"line manager","line manag","line","manag",NA,NA,NA
2,"line producer","line produc","line","produc",NA,NA,NA
1,"lineman","lineman","lineman",NA,NA,NA,NA
3,"linux system administrator","linux system administr","linux","system","administr",NA,NA
2,"litigation associate","litig associ","litig","associ",NA,NA,NA
2,"litigation paralegal","litig paraleg","litig","paraleg",NA,NA,NA
3,"live sound engineer","live sound engin","live","sound","engin",NA,NA
1,"lmt","lmt","lmt",NA,NA,NA,NA
1,"loader","loader","loader",NA,NA,NA,NA
2,"loan officer","loan offic","loan","offic",NA,NA,NA
2,"loan originator","loan origin","loan","origin",NA,NA,NA
2,"loan processor","loan processor","loan","processor",NA,NA,NA
2,"location manager","locat manag","locat","manag",NA,NA,NA
1,"announcer","announc","announc",NA,NA,NA,NA
1,"logistics","logist","logist",NA,NA,NA,NA
2,"logistics coordinator","logist coordin","logist","coordin",NA,NA,NA
2,"logistics manager","logist manag","logist","manag",NA,NA,NA
1,"logistics","logist","logist",NA,NA,NA,NA
1,"logistician","logistician","logistician",NA,NA,NA,NA
1,"logistics","logist","logist",NA,NA,NA,NA
2,"logistics analyst","logist analyst","logist","analyst",NA,NA,NA
2,"logistic assistant","logist assist","logist","assist",NA,NA,NA
2,"logistics coordinator","logist coordin","logist","coordin",NA,NA,NA
2,"logistics manager","logist manag","logist","manag",NA,NA,NA
2,"logistics officer","logist offic","logist","offic",NA,NA,NA
2,"logistics specialist","logist specialist","logist","specialist",NA,NA,NA
2,"logistics supervisor","logist supervisor","logist","supervisor",NA,NA,NA
2,"logistics employee","logist employe","logist","employe",NA,NA,NA
4,"long term substitute teacher","long term substitut teacher","long","term","substitut","teacher",NA
2,"loss prevention","loss prevent","loss","prevent",NA,NA,NA
3,"loss prevention manager","loss prevent manag","loss","prevent","manag",NA,NA
2,"loss prevention","loss prevent","loss","prevent",NA,NA,NA
1,"lpn","lpn","lpn",NA,NA,NA,NA
1,"lieutenant","lieuten","lieuten",NA,NA,NA,NA
1,"lvn","lvn","lvn",NA,NA,NA,NA
1,"m.d","md","md",NA,NA,NA,NA
1,"md","md","md",NA,NA,NA,NA
2,"medical assistant","medic assist","medic","assist",NA,NA,NA
2,"machine learning","machin learn","machin","learn",NA,NA,NA
2,"machine operator","machin oper","machin","oper",NA,NA,NA
1,"machinist","machinist","machinist",NA,NA,NA,NA
1,"teacher","teacher","teacher",NA,NA,NA,NA
1,"teacher","teacher","teacher",NA,NA,NA,NA
1,"storekeeper","storekeep","storekeep",NA,NA,NA,NA
2,"store manager","store manag","store","manag",NA,NA,NA
2,"warehouse worker","warehous worker","warehous","worker",NA,NA,NA
2,"warehouse worker","warehous worker","warehous","worker",NA,NA,NA
2,"college student","colleg student","colleg","student",NA,NA,NA
1,"maintenance","mainten","mainten",NA,NA,NA,NA
2,"maintenance coordinator","mainten coordin","mainten","coordin",NA,NA,NA
2,"maintenance electrician","mainten electrician","mainten","electrician",NA,NA,NA
2,"maintenance engineer","mainten engin","mainten","engin",NA,NA,NA
2,"maintenance manager","mainten manag","mainten","manag",NA,NA,NA
2,"maintenance mechanic","mainten mechan","mainten","mechan",NA,NA,NA
2,"maintenance planner","mainten planner","mainten","planner",NA,NA,NA
2,"maintenance supervisor","mainten supervisor","mainten","supervisor",NA,NA,NA
2,"maintenance tech","mainten tech","mainten","tech",NA,NA,NA
2,"maintenance technician","mainten technician","mainten","technician",NA,NA,NA
2,"maintenance worker","mainten worker","mainten","worker",NA,NA,NA
1,"lecturer","lectur","lectur",NA,NA,NA,NA
1,"major","major","major",NA,NA,NA,NA
3,"major account executive","major account execut","major","account","execut",NA,NA
3,"major account manager","major account manag","major","account","manag",NA,NA
2,"makeup artist","makeup artist","makeup","artist",NA,NA,NA
2,"makeup artist","makeup artist","makeup","artist",NA,NA,NA
2,"makeup artist","makeup artist","makeup","artist",NA,NA,NA
1,"management","manag","manag",NA,NA,NA,NA
2,"management accountant","manag account","manag","account",NA,NA,NA
2,"management analyst","manag analyst","manag","analyst",NA,NA,NA
2,"management assistant","manag assist","manag","assist",NA,NA,NA
2,"management assistant","manag assist","manag","assist",NA,NA,NA
2,"management associate","manag associ","manag","associ",NA,NA,NA
2,"management consultant","manag consult","manag","consult",NA,NA,NA
2,"management intern","manag intern","manag","intern",NA,NA,NA
2,"management trainee","manag traine","manag","traine",NA,NA,NA
1,"manager","manag","manag",NA,NA,NA,NA
2,"manager accounts","manag account","manag","account",NA,NA,NA
2,"manager assistant","manag assist","manag","assist",NA,NA,NA
3,"manager business development","manag busi develop","manag","busi","develop",NA,NA
3,"manager customer service","manag custom servic","manag","custom","servic",NA,NA
2,"manager engineering","manag engin","manag","engin",NA,NA,NA
2,"manager finance","manag financ","manag","financ",NA,NA,NA
2,"manager hr","manag hr","manag","hr",NA,NA,NA
3,"manager human resources","manag human resourc","manag","human","resourc",NA,NA
3,"manager in training","manag in train","manag","train",NA,NA,NA
2,"manager it","manag it","manag",NA,NA,NA,NA
2,"manager marketing","manag market","manag","market",NA,NA,NA
3,"manager of operations","manag of oper","manag","oper",NA,NA,NA
3,"manager on duty","manag on duti","manag","duti",NA,NA,NA
2,"manager operations","manag oper","manag","oper",NA,NA,NA
2,"manager production","manag product","manag","product",NA,NA,NA
2,"manager projects","manag project","manag","project",NA,NA,NA
2,"manager sales","manag sale","manag","sale",NA,NA,NA
2,"managing attorney","manag attorney","manag","attorney",NA,NA,NA
2,"managing broker","manag broker","manag","broker",NA,NA,NA
2,"managing consultant","manag consult","manag","consult",NA,NA,NA
2,"managing director","manag director","manag","director",NA,NA,NA
2,"managing editor","manag editor","manag","editor",NA,NA,NA
2,"managing member","manag member","manag","member",NA,NA,NA
2,"managing owner","manag owner","manag","owner",NA,NA,NA
2,"managing partner","manag partner","manag","partner",NA,NA,NA
2,"managing principal","manag princip","manag","princip",NA,NA,NA
1,"gloom","gloom","gloom",NA,NA,NA,NA
1,"manager","manag","manag",NA,NA,NA,NA
1,"maintenance","mainten","mainten",NA,NA,NA,NA
1,"manufacturing","manufactur","manufactur",NA,NA,NA,NA
2,"manufacturing engineer","manufactur engin","manufactur","engin",NA,NA,NA
3,"manufacturing engineering intern","manufactur engin intern","manufactur","engin","intern",NA,NA
3,"manufacturing engineering intern","manufactur engin intern","manufactur","engin","intern",NA,NA
2,"manufacturing manager","manufactur manag","manufactur","manag",NA,NA,NA
2,"manufacturing supervisor","manufactur supervisor","manufactur","supervisor",NA,NA,NA
2,"manufacturing technician","manufactur technician","manufactur","technician",NA,NA,NA
2,"makeup artist","makeup artist","makeup","artist",NA,NA,NA
1,"marine","marin","marin",NA,NA,NA,NA
2,"marine engineer","marin engin","marin","engin",NA,NA,NA
2,"market analyst","market analyst","market","analyst",NA,NA,NA
2,"market manager","market manag","market","manag",NA,NA,NA
3,"market research analyst","market research analyst","market","research","analyst",NA,NA
3,"market research intern","market research intern","market","research","intern",NA,NA
2,"market researcher","market research","market","research",NA,NA,NA
1,"marketer","market","market",NA,NA,NA,NA
1,"marketing","market","market",NA,NA,NA,NA
2,"marketing administrator","market administr","market","administr",NA,NA,NA
2,"marketing analyst","market analyst","market","analyst",NA,NA,NA
4,"marketing and communications coordinator","market and communic coordin","market","communic","coordin",NA,NA
4,"marketing and communications manager","market and communic manag","market","communic","manag",NA,NA
4,"marketing and communications manager","market and communic manag","market","communic","manag",NA,NA
4,"marketing and sales intern","market and sale intern","market","sale","intern",NA,NA
4,"marketing and sales manager","market and sale manag","market","sale","manag",NA,NA
2,"marketing assistant","market assist","market","assist",NA,NA,NA
2,"marketing associate","market associ","market","associ",NA,NA,NA
2,"marketing communications","market communic","market","communic",NA,NA,NA
3,"marketing communications manager","market communic manag","market","communic","manag",NA,NA
3,"marketing communications specialist","market communic specialist","market","communic","specialist",NA,NA
2,"marketing consultant","market consult","market","consult",NA,NA,NA
2,"marketing coordinator","market coordin","market","coordin",NA,NA,NA
2,"marketing director","market director","market","director",NA,NA,NA
2,"marketing executive","market execut","market","execut",NA,NA,NA
2,"marketing intern","market intern","market","intern",NA,NA,NA
2,"marketing intern","market intern","market","intern",NA,NA,NA
2,"marketing manager","market manag","market","manag",NA,NA,NA
2,"marketing officer","market offic","market","offic",NA,NA,NA
3,"marketing project manager","market project manag","market","project","manag",NA,NA
2,"marketing representative","market repres","market","repres",NA,NA,NA
2,"marketing specialist","market specialist","market","specialist",NA,NA,NA
2,"marketing trainee","market traine","market","traine",NA,NA,NA
3,"martial arts instructor","martial art instructor","martial","art","instructor",NA,NA
1,"mason","mason","mason",NA,NA,NA,NA
2,"massage therapist","massag therapist","massag","therapist",NA,NA,NA
1,"master","master","master",NA,NA,NA,NA
2,"master electrician","master electrician","master","electrician",NA,NA,NA
2,"master scheduler","master schedul","master","schedul",NA,NA,NA
2,"master student","master student","master","student",NA,NA,NA
2,"master thesis","master thesi","master","thesi",NA,NA,NA
3,"master thesis student","master thesi student","master","thesi","student",NA,NA
2,"master trainer","master trainer","master","trainer",NA,NA,NA
2,"material handler","materi handler","materi","handler",NA,NA,NA
2,"material planner","materi planner","materi","planner",NA,NA,NA
2,"materials coordinator","materi coordin","materi","coordin",NA,NA,NA
2,"materials manager","materi manag","materi","manag",NA,NA,NA
2,"maternity leave","matern leav","matern","leav",NA,NA,NA
1,"math","math","math",NA,NA,NA,NA
2,"math teacher","math teacher","math","teacher",NA,NA,NA
2,"math tutor","math tutor","math","tutor",NA,NA,NA
2,"mathematics instructor","mathemat instructor","mathemat","instructor",NA,NA,NA
2,"mathematics teacher","mathemat teacher","mathemat","teacher",NA,NA,NA
2,"mathematics tutor","mathemat tutor","mathemat","tutor",NA,NA,NA
1,"higher","higher","higher",NA,NA,NA,NA
1,"mba","mba","mba",NA,NA,NA,NA
2,"mba candidate","mba candid","mba","candid",NA,NA,NA
2,"mba student","mba student","mba","student",NA,NA,NA
2,"music composer","music compos","music","compos",NA,NA,NA
1,"md","md","md",NA,NA,NA,NA
3,"md and ceo","md and ceo","md","ceo",NA,NA,NA
1,"me","me",NA,NA,NA,NA,NA
1,"mechanic","mechan","mechan",NA,NA,NA,NA
1,"mechanic","mechan","mechan",NA,NA,NA,NA
1,"mechanic","mechan","mechan",NA,NA,NA,NA
2,"maintenance mechanic","mainten mechan","mainten","mechan",NA,NA,NA
1,"mechanic","mechan","mechan",NA,NA,NA,NA
3,"mechanical design engineer","mechan design engin","mechan","design","engin",NA,NA
2,"mechanical designer","mechan design","mechan","design",NA,NA,NA
2,"mechanical engineer","mechan engin","mechan","engin",NA,NA,NA
3,"mechanical engineering co-op","mechan engin coop","mechan","engin","coop",NA,NA
3,"mechanical engineering intern","mechan engin intern","mechan","engin","intern",NA,NA
2,"mechanical fitter","mechan fitter","mechan","fitter",NA,NA,NA
2,"mechanical supervisor","mechan supervisor","mechan","supervisor",NA,NA,NA
2,"mechanical technician","mechan technician","mechan","technician",NA,NA,NA
1,"co-owner","coowner","coowner",NA,NA,NA,NA
1,"doctor","doctor","doctor",NA,NA,NA,NA
1,"doctor","doctor","doctor",NA,NA,NA,NA
2,"occupational physician","occup physician","occup","physician",NA,NA,NA
1,"collaborator","collabor","collabor",NA,NA,NA,NA
2,"employee service","employe servic","employe","servic",NA,NA,NA
1,"doctor","doctor","doctor",NA,NA,NA,NA
2,"medical assistant","medic assist","medic","assist",NA,NA,NA
2,"media buyer","media buyer","media","buyer",NA,NA,NA
2,"media consultant","media consult","media","consult",NA,NA,NA
2,"media coordinator","media coordin","media","coordin",NA,NA,NA
2,"media director","media director","media","director",NA,NA,NA
2,"media executive","media execut","media","execut",NA,NA,NA
2,"media internly","media intern","media","intern",NA,NA,NA
2,"media manager","media manag","media","manag",NA,NA,NA
2,"media planner","media planner","media","planner",NA,NA,NA
2,"media specialist","media specialist","media","specialist",NA,NA,NA
2,"media supervisor","media supervisor","media","supervisor",NA,NA,NA
1,"mediator","mediat","mediat",NA,NA,NA,NA
1,"doctor","doctor","doctor",NA,NA,NA,NA
1,"doctor","doctor","doctor",NA,NA,NA,NA
1,"medical","medic","medic",NA,NA,NA,NA
1,"doctor","doctor","doctor",NA,NA,NA,NA
3,"medical administrative assistant","medic administr assist","medic","administr","assist",NA,NA
2,"medical assistant","medic assist","medic","assist",NA,NA,NA
2,"medical biller","medic biller","medic","biller",NA,NA,NA
2,"medical coder","medic coder","medic","coder",NA,NA,NA
2,"medical director","medic director","medic","director",NA,NA,NA
2,"medical doctor","medic doctor","medic","doctor",NA,NA,NA
3,"medical laboratory technician","medic laboratori technician","medic","laboratori","technician",NA,NA
3,"medical office assistant","medic offic assist","medic","offic","assist",NA,NA
2,"medical officer","medic offic","medic","offic",NA,NA,NA
2,"medical receptionist","medic receptionist","medic","receptionist",NA,NA,NA
2,"medical representative","medic repres","medic","repres",NA,NA,NA
3,"medical sales representative","medic sale repres","medic","sale","repres",NA,NA
2,"medical scribe","medic scribe","medic","scribe",NA,NA,NA
2,"medical secretary","medic secretari","medic","secretari",NA,NA,NA
3,"medical social worker","medic social worker","medic","social","worker",NA,NA
2,"medical student","medic student","medic","student",NA,NA,NA
2,"medical technician","medic technician","medic","technician",NA,NA,NA
2,"medical technologist","medic technologist","medic","technologist",NA,NA,NA
2,"medical transcriptionist","medic transcriptionist","medic","transcriptionist",NA,NA,NA
1,"doctor","doctor","doctor",NA,NA,NA,NA
1,"doctor","doctor","doctor",NA,NA,NA,NA
2,"veterinary surgeon","veterinari surgeon","veterinari","surgeon",NA,NA,NA
1,"veterinarian","veterinarian","veterinarian",NA,NA,NA,NA
1,"member","member","member",NA,NA,NA,NA
4,"member board of directors","member board of director","member","board","director",NA,NA
4,"member of technical staff","member of technic staff","member","technic","staff",NA,NA
4,"member of the board","member of the board","member","board",NA,NA,NA
6,"member of the board of directors","member of the board of director","member","board","director",NA,NA
3,"member services representative","member servic repres","member","servic","repres",NA,NA
2,"member services","member servic","member","servic",NA,NA,NA
3,"member services representative","member servic repres","member","servic","repres",NA,NA
3,"member technical staff","member technic staff","member","technic","staff",NA,NA
2,"membership director","membership director","membership","director",NA,NA,NA
1,"member","member","member",NA,NA,NA,NA
1,"officer","offic","offic",NA,NA,NA,NA
1,"gloom","gloom","gloom",NA,NA,NA,NA
1,"apprentice","apprentic","apprentic",NA,NA,NA,NA
3,"mental health clinician","mental health clinician","mental","health","clinician",NA,NA
3,"mental health counselor","mental health counselor","mental","health","counselor",NA,NA
3,"mental health therapist","mental health therapist","mental","health","therapist",NA,NA
3,"mental health worker","mental health worker","mental","health","worker",NA,NA
1,"mentor","mentor","mentor",NA,NA,NA,NA
1,"merchant","merchant","merchant",NA,NA,NA,NA
2,"merchandise manager","merchandis manag","merchandis","manag",NA,NA,NA
1,"merchandiser","merchandis","merchandis",NA,NA,NA,NA
2,"merchandising manager","merchandis manag","merchandis","manag",NA,NA,NA
1,"meteorologist","meteorologist","meteorologist",NA,NA,NA,NA
1,"manager","manag","manag",NA,NA,NA,NA
1,"microbiologist","microbiologist","microbiologist",NA,NA,NA,NA
1,"midwife","midwif","midwif",NA,NA,NA,NA
2,"faculty member","faculti member","faculti","member",NA,NA,NA
1,"military","militari","militari",NA,NA,NA,NA
1,"military","militari","militari",NA,NA,NA,NA
2,"military police","militari polic","militari","polic",NA,NA,NA
2,"military service","militari servic","militari","servic",NA,NA,NA
1,"millwright","millwright","millwright",NA,NA,NA,NA
1,"architect","architect","architect",NA,NA,NA,NA
2,"mining engineer","mine engin","mine","engin",NA,NA,NA
1,"minister","minist","minist",NA,NA,NA,NA
1,"executive","execut","execut",NA,NA,NA,NA
1,"missionary","missionari","missionari",NA,NA,NA,NA
1,"mixologist","mixologist","mixologist",NA,NA,NA,NA
2,"machine learning","machin learn","machin","learn",NA,NA,NA
3,"mobile application developer","mobil applic develop","mobil","applic","develop",NA,NA
2,"mobile developer","mobil develop","mobil","develop",NA,NA,NA
1,"model","model","model",NA,NA,NA,NA
2,"module lead","modul lead","modul","lead",NA,NA,NA
1,"mom","mom","mom",NA,NA,NA,NA
1,"monitor","monitor","monitor",NA,NA,NA,NA
1,"monitor","monitor","monitor",NA,NA,NA,NA
1,"assembler","assembl","assembl",NA,NA,NA,NA
1,"mechanic","mechan","mechan",NA,NA,NA,NA
1,"assembler","assembl","assembl",NA,NA,NA,NA
1,"assembler","assembl","assembl",NA,NA,NA,NA
2,"mortgage advisor","mortgag advisor","mortgag","advisor",NA,NA,NA
2,"mortgage banker","mortgag banker","mortgag","banker",NA,NA,NA
2,"mortgage broker","mortgag broker","mortgag","broker",NA,NA,NA
2,"mortgage consultant","mortgag consult","mortgag","consult",NA,NA,NA
3,"mortgage loan officer","mortgag loan offic","mortgag","loan","offic",NA,NA
3,"mortgage loan originator","mortgag loan origin","mortgag","loan","origin",NA,NA
3,"mortgage loan processor","mortgag loan processor","mortgag","loan","processor",NA,NA
2,"mortgage specialist","mortgag specialist","mortgag","specialist",NA,NA,NA
2,"mortgage underwriter","mortgag underwrit","mortgag","underwrit",NA,NA,NA
1,"mother","mother","mother",NA,NA,NA,NA
2,"motion designer","motion design","motion","design",NA,NA,NA
1,"driver","driver","driver",NA,NA,NA,NA
1,"microsoft","microsoft","microsoft",NA,NA,NA,NA
2,"msc student","msc student","msc","student",NA,NA,NA
1,"manager","manag","manag",NA,NA,NA,NA
1,"accounting","account","account",NA,NA,NA,NA
1,"accountant","account","account",NA,NA,NA,NA
1,"engineer","engin","engin",NA,NA,NA,NA
3,"multi coded welder","multi code welder","multi","code","welder",NA,NA
2,"multimedia designer","multimedia design","multimedia","design",NA,NA,NA
2,"music director","music director","music","director",NA,NA,NA
2,"music editor","music editor","music","editor",NA,NA,NA
2,"music producer","music produc","music","produc",NA,NA,NA
2,"music teacher","music teacher","music","teacher",NA,NA,NA
1,"musician","musician","musician",NA,NA,NA,NA
1,"musician","musician","musician",NA,NA,NA,NA
3,"n and a","n and a","n",NA,NA,NA,NA
1,"nothing","noth","noth",NA,NA,NA,NA
2,"nail technician","nail technician","nail","technician",NA,NA,NA
1,"nanny","nanni","nanni",NA,NA,NA,NA
3,"national account executive","nation account execut","nation","account","execut",NA,NA
3,"national account manager","nation account manag","nation","account","manag",NA,NA
3,"national account manager","nation account manag","nation","account","manag",NA,NA
4,"national key account manager","nation key account manag","nation","key","account","manag",NA
3,"national sales director","nation sale director","nation","sale","director",NA,NA
3,"national sales manager","nation sale manag","nation","sale","manag",NA,NA
2,"ndt technician","ndt technician","ndt","technician",NA,NA,NA
1,"negotiator","negoti","negoti",NA,NA,NA,NA
1,"network","network","network",NA,NA,NA,NA
2,"network admin","network admin","network","admin",NA,NA,NA
2,"network administrator","network administr","network","administr",NA,NA,NA
2,"network analyst","network analyst","network","analyst",NA,NA,NA
2,"network consultant","network consult","network","consult",NA,NA,NA
2,"network engineer","network engin","network","engin",NA,NA,NA
2,"network manager","network manag","network","manag",NA,NA,NA
3,"network operations manager","network oper manag","network","oper","manag",NA,NA
3,"network security engineer","network secur engin","network","secur","engin",NA,NA
2,"network specialist","network specialist","network","specialist",NA,NA,NA
3,"network support engineer","network support engin","network","support","engin",NA,NA
2,"network technician","network technician","network","technician",NA,NA,NA
1,"networker","network","network",NA,NA,NA,NA
1,"networking","network","network",NA,NA,NA,NA
3,"new business manager","new busi manag","new","busi","manag",NA,NA
2,"news director","news director","news","director",NA,NA,NA
2,"news editor","news editor","news","editor",NA,NA,NA
2,"news reporter","news report","news","report",NA,NA,NA
1,"ngo","ngo","ngo",NA,NA,NA,NA
2,"night auditor","night auditor","night","auditor",NA,NA,NA
2,"night manager","night manag","night","manag",NA,NA,NA
1,"nil","nil","nil",NA,NA,NA,NA
1,"nothing","noth","noth",NA,NA,NA,NA
1,"nothing","noth","noth",NA,NA,NA,NA
1,"unemployed","unemploy","unemploy",NA,NA,NA,NA
1,"unemployed","unemploy","unemploy",NA,NA,NA,NA
2,"noc engineer","noc engin","noc","engin",NA,NA,NA
1,"nothnig","nothnig","nothnig",NA,NA,NA,NA
3,"non executive director","non execut director","non","execut","director",NA,NA
1,"nothing","noth","noth",NA,NA,NA,NA
2,"notary public","notari public","notari","public",NA,NA,NA
1,"nothing","noth","noth",NA,NA,NA,NA
3,"nuclear medicine technologist","nuclear medicin technologist","nuclear","medicin","technologist",NA,NA
1,"nurse","nurs","nurs",NA,NA,NA,NA
2,"nurse manager","nurs manag","nurs","manag",NA,NA,NA
2,"nurse practitioner","nurs practition","nurs","practition",NA,NA,NA
1,"nursing","nurs","nurs",NA,NA,NA,NA
2,"nursing assistant","nurs assist","nurs","assist",NA,NA,NA
2,"nursing instructor","nurs instructor","nurs","instructor",NA,NA,NA
2,"nursing student","nurs student","nurs","student",NA,NA,NA
2,"nursing supervisor","nurs supervisor","nurs","supervisor",NA,NA,NA
1,"nutritionist","nutritionist","nutritionist",NA,NA,NA,NA
1,"nutritionist","nutritionist","nutritionist",NA,NA,NA,NA
2,"occupational therapist","occup therapist","occup","therapist",NA,NA,NA
1,"dentist","dentist","dentist",NA,NA,NA,NA
1,"dentist","dentist","dentist",NA,NA,NA,NA
1,"consulant","consul","consul",NA,NA,NA,NA
1,"officer","offic","offic",NA,NA,NA,NA
2,"office admin","offic admin","offic","admin",NA,NA,NA
2,"office administrator","offic administr","offic","administr",NA,NA,NA
2,"office assistant","offic assist","offic","assist",NA,NA,NA
2,"office clerk","offic clerk","offic","clerk",NA,NA,NA
2,"office coordinator","offic coordin","offic","coordin",NA,NA,NA
2,"office engineer","offic engin","offic","engin",NA,NA,NA
2,"office manager","offic manag","offic","manag",NA,NA,NA
2,"office mgr","offic mgr","offic","mgr",NA,NA,NA
2,"office staff","offic staff","offic","staff",NA,NA,NA
2,"office supervisor","offic supervisor","offic","supervisor",NA,NA,NA
2,"office worker","offic worker","offic","worker",NA,NA,NA
1,"officer","offic","offic",NA,NA,NA,NA
1,"official","offici","offici",NA,NA,NA,NA
2,"administrative officer","administr offic","administr","offic",NA,NA,NA
1,"student","student","student",NA,NA,NA,NA
1,"teacher","teacher","teacher",NA,NA,NA,NA
1,"oiler","oiler","oiler",NA,NA,NA,NA
1,"staff","staff","staff",NA,NA,NA,NA
1,"entrepreneur","entrepreneur","entrepreneur",NA,NA,NA,NA
3,"online marketing manager","onlin market manag","onlin","market","manag",NA,NA
1,"operator","oper","oper",NA,NA,NA,NA
1,"operator","oper","oper",NA,NA,NA,NA
1,"cashier","cashier","cashier",NA,NA,NA,NA
2,"forklift operator","forklift oper","forklift","oper",NA,NA,NA
2,"production operator","product oper","product","oper",NA,NA,NA
2,"telemarketing operator","telemarket oper","telemarket","oper",NA,NA,NA
1,"cashier","cashier","cashier",NA,NA,NA,NA
2,"telemarketing operator","telemarket oper","telemarket","oper",NA,NA,NA
