to,n,from
infrastructure analyst,2,infrastructure analyst
infrastructure engineer,2,infrastructure engineer
engineer,1,ing
engineer,1,ing.
engineer,1,ingegnere
engineer,1,ingeniero
civil engineer,2,ingeniero civil
quality engineer,2,ingeniero de calidad
development engineer,2,ingeniero de desarrollo
process engineer,2,ingeniero de procesos
project engineer,2,ingeniero de proyecto
project engineer,2,ingeniero de proyectos
software engineer,2,ingeniero de software
support engineer,2,ingeniero de soporte
industrial engineer,2,ingeniero industrial
resident engineer,2,ingeniero residente
engineer,1,ingenieur
engineer,1,ingénieur
sales engineer,2,ingénieur commercial
business engineer,2,ingénieur d'affaires
engineering studies,2,ingénieur d'étude
engineering studies,2,ingénieur d'études
development engineer,2,ingénieur développement
software engineer,2,ingénieur logiciel
research and development engineer,4,ingénieur r and d
engineer works,2,ingénieur travaux
engineer,1,inginer
owner,1,inhaber
proprietress,1,inhaberin
construction engineer,2,İnşaat mühendisi
teacher,1,insegnante
sales,2,inside sales
inside sales account manager,4,inside sales account manager
inside sales manager,3,inside sales manager
inside sales rep,3,inside sales rep
inside sales representative,3,inside sales representative
inspector,1,inspecteur
inspection engineer,2,inspection engineer
inspector,1,inspector
quality inspector,2,inspetor de qualidade
installer,1,instalador
installation manager,2,installation manager
installation technician,2,installation technician
install,1,installer
institutional sales,2,institutional sales
instructional assistant,2,instructional assistant
instructional designer,2,instructional designer
instructor,1,instructor
instrument engineer,2,instrument engineer
instrument technician,2,instrument technician
instrumentation engineer,2,instrumentation engineer
instrumentation technician,2,instrumentation technician
instructor,1,instrutor
instructor,1,instrutora
insurance,1,insurance
insurance advisor,2,insurance advisor
insurance agent,2,insurance agent
insurance broker,2,insurance broker
insurance consultant,2,insurance consultant
insurance coordinator,2,insurance coordinator
insurance specialist,2,insurance specialist
intake specialist,2,intake specialist
intelligence analyst,2,intelligence analyst
interaction designer,2,interaction designer
agent,1,intercedent
interim manager,2,interim manager
interior architect,2,interior architect
interior decorator,2,interior decorator
interior designer,2,interior design
interior design intern,3,interior design intern
interior designer,2,interior designer
insurance intermediary,2,intermediario assicurativo
intern,1,intern
intern architect,2,intern architect
intern engineer,2,intern engineer
internal auditor,2,internal audit
intern audit intern,3,internal audit intern
intern audit manager,3,internal audit manager
internal auditor,2,internal auditor
intern medicine resident,3,internal medicine resident
internal sales,2,internal sales
international account manager,3,international account manager
international sales,2,international sales
international sales manager,3,international sales manager
intern,1,internee
internet marketing,2,internet marketing
internet sales manager,3,internet sales manager
internship,1,internship
internship student,2,internship student
internship trainee,2,internship trainee
interpreter,1,interpreter
intervention specialist,2,intervention specialist
interventional cardiologist,2,interventional cardiologist
interviewer,1,interviewer
inventory analyst,2,inventory analyst
inventory control,2,inventory control
inventory control specialist,3,inventory control specialist
inventory control,2,inventory controller
inventory manager,2,inventory manager
inventory specialist,2,inventory specialist
investigator,1,investigador
investigator,1,investigator
investment advisor,2,investment advisor
investment analyst,2,investment analyst
investment banking analyst,3,investment banking analyst
investment banking summer analyst,4,investment banking summer analyst
investment consultant,2,investment consultant
investment director,2,investment director
investment manager,2,investment manager
investment officer,2,investment officer
investor,1,investor
ios developer,2,ios developer
intellectual property,1,ip
information systems,1,it
it administrator,2,it administrator
it analyst,2,it analyst
it architect,2,it architect
it assistant,2,it assistant
it associate,2,it associate
it auditor,2,it auditor
it business analyst,3,it business analyst
it consultant,2,it consultant
it coordinator,2,it coordinator
ui developer,2,it developer
it director,2,it director
it engineer,2,it engineer
it executive,2,it executive
it helpdesk,2,it helpdesk
it instructor,2,it instructor
it intern,2,it intern
it manager,2,it manager
it officer,2,it officer
it operations manager,3,it operations manager
it professional,2,it professional
it project manager,3,it project manager
it recruiter,2,it recruiter
it security analyst,3,it security analyst
it specialist,2,it specialist
it staff,2,it staff
it supervisor,2,it supervisor
it support,2,it support
it support analyst,3,it support analyst
it support engineer,3,it support engineer
it support specialist,3,it support specialist
it support technician,3,it support technician
it support,2,it supporter
it system administrator,3,it system administrator
it systems engineer,3,it systems engineer
it technician,2,it technician
janitor,1,janitor
java,1,java
java developer,2,java developer
jednatel,1,jednatel
boss,1,jefa
boss,1,jefe
administrative boss,2,jefe administrativo
warehouse manager,2,jefe de almacen
chief,1,jefe de cocina
purchasing manager,2,jefe de compras
head of department,3,jefe de departamento
team leader,2,jefe de equipo
maintenance manager,2,jefe de mantenimiento
construction manager,2,jefe de obra
chief of operations,3,jefe de operaciones
chief of staff,3,jefe de personal
plant manager,2,jefe de planta
production manager,2,jefe de produccion
production manager,2,jefe de producción
project manager,2,jefe de proyecto
project manager,2,jefe de proyectos
head of human resources,4,jefe de recursos humanos
chief of systems,3,jefe de sistemas
shift manager,2,jefe de turno
sales manager,2,jefe de ventas
jewelry designer,2,jewelry designer
job coach,2,job coach
job seeker,2,job seeker
job student,2,jobstudent
joiner,1,joiner
journalist,1,jornalista
journalism intern,2,journalism intern
journalist,1,journalist
journalist,1,journaliste
journeyman,1,journeyman
journeyman electrician,2,journeyman electrician
young apprentice,2,jovem aprendiz
retired,1,jubilada
retired,1,jubilado
judge,1,judge
judicial intern,2,judicial intern
judicial law clerk,3,judicial law clerk
junior account manager,3,junior account manager
junior accountant,2,junior accountant
junior analyst,2,junior analyst
junior architect,2,junior architect
junior associate,2,junior associate
junior auditor,2,junior auditor
junior business analyst,3,junior business analyst
junior buyer,2,junior buyer
junior consultant,2,junior consultant
junior designer,2,junior designer
junior developer,2,junior developer
junior engineer,2,junior engineer
senior graphic designer,3,junior graphic designer
junior manager,2,junior manager
junior programs,2,junior programmer
junior project engineer,3,junior project engineer
junior project manager,3,junior project manager
junior research fellow,3,junior research fellow
junior researcher,2,junior researcher
junior software developer,3,junior software developer
junior software engineer,3,junior software engineer
junior sous chef,3,junior sous chef
junior web developer,3,junior web developer
lawyer,1,jurist
lawyer,1,juriste
employee,1,karyawan
cashier,1,kassamedewerker
waiter,1,kelner
key account,2,key account
key account executive,3,key account executive
key account manager,3,key account manager
key account sales manager,4,key account sales manager
key account manager,3,key accounts manager
key holder,2,key holder
key holder,2,keyholder
kindergarten teacher,2,kindergarten teacher
kitchen assistant,2,kitchen assistant
kitchen designer,2,kitchen designer
kitchen manager,2,kitchen manager
kitchen staff,2,kitchen staff
knowledge management,1,km
chief,1,kock
constructor,1,konstruktör
consultant,1,konsulent
consultant,1,konsult
office assistant,2,kontorassistent
lab assistant,2,lab assistant
lab manager,2,lab manager
lab tech,2,lab tech
lab technician,2,lab technician
labor,1,labor
laborant,1,laborant
laboratory analyst,2,laboratory analyst
laboratory assistant,2,laboratory assistant
laboratory manager,2,laboratory manager
laboratory technician,2,laboratory technician
laborer,1,laborer
laborer,1,labourer
teacher,1,lærer
land surveyor,2,land surveyor
countryman,1,landman
landscape architect,2,landscape architect
landscape designer,2,landscape designer
landscaper,1,landscaper
language teacher,2,language teacher
teacher,1,lärare
graduation,1,laurea
law clerk,2,law clerk
law enforcement,2,law enforcement
law student,2,law student
lawyer,1,lawyer
layout artist,2,layout artist
lead,1,lead
lead auditor,2,lead auditor
lead business analyst,3,lead business analyst
head cashier,2,lead cashier
lead consultant,2,lead consultant
lead cook,2,lead cook
lead designer,2,lead designer
lead developer,2,lead developer
lead electrician,2,lead electrician
lead engineer,2,lead engineer
lead graphic designer,3,lead graphic designer
lead instructor,2,lead instructor
lead line cook,3,lead line cook
lead mechanic,2,lead mechanic
lead pastor,2,lead pastor
lead programmer,2,lead programmer
lead project manager,3,lead project manager
lead recruiter,2,lead recruiter
lead software developer,3,lead software developer
lead software engineer,3,lead software engineer
lead teacher,2,lead teacher
lead technician,2,lead technician
lead teller,2,lead teller
leader,1,leader
learning  and  development manager,6,learning  and  development manager
learning specialist,2,learning specialist
learning support assistant,3,learning support assistant
leasing agent,2,leasing agent
leasing consultant,2,leasing consultant
leasing manager,2,leasing manager
leasing professional,2,leasing professional
reader,1,lector
lecturer,1,lecturer
lecturer in english,3,lecturer in english
leader,1,leder
teacher,1,leerkracht
legal,1,legal
legal administrative assistant,3,legal administrative assistant
legal advisor,2,legal adviser
legal advisor,2,legal advisor
legal assistant,2,legal assistant
legal consultant,2,legal consultant
legal counsel,2,legal counsel
legal executive,2,legal executive
legally,1,legal extern
legal intern,2,legal intern
legal manager,2,legal manager
legal officer,2,legal officer
legal researcher,2,legal researcher
legal secretary,2,legal secretary
legal specialist,2,legal specialist
legal trainee,2,legal trainee
legal help,2,legislative aide
legislative assistant,2,legislative assistant
intern legislation,2,legislative intern
teacher,1,lehrer
teacher,1,lehrerin
lector,1,lektor
postman,2,letter carrier
level designer,2,level designer
liaison officer,2,liaison officer
freelancer,1,libero professionista
bookseller,1,libraire
librarian,1,librarian
library assistant,2,library assistant
library director,2,library director
licensed clinical social worker,4,licensed clinical social worker
licensed insurance agent,3,licensed insurance agent
licensed massage therapist,3,licensed massage therapist
licensed mental health counselor,4,licensed mental health counselor
licensed practical nurse,3,licensed practical nurse
licensed professional counselor,3,licensed professional counselor
licensed real estate agent,4,licensed real estate agent
licensed real estate salesperson,4,licensed real estate salesperson
licensed realtor,2,licensed realtor
member of the supervisory board,5,lid raad van toezicht
leader,1,lider
project leader,2,lider de proyecto
lieutenant,1,lieutenant
life coach,2,life coach
life insurance agent,3,life insurance agent
lifeguard,1,lifeguard
lighting designer,2,lighting designer
lighting technician,2,lighting technician
line cook,2,line cook
line manager,2,line manager
line producer,2,line producer
lineman,1,lineman
linux system administrator,3,linux system administrator
litigation associate,2,litigation associate
litigation paralegal,2,litigation paralegal
live sound engineer,3,live sound engineer
lmt,1,lmt
loader,1,loader
loan officer,2,loan officer
loan originator,2,loan originator
loan processor,2,loan processor
location manager,2,location manager
announcer,1,locutor
logistics,1,logistic
logistics coordinator,2,logistic coordinator
logistics manager,2,logistic manager
logistics,1,logistica
logistician,1,logisticien
logistics,1,logistics
logistics analyst,2,logistics analyst
logistic assistant,2,logistics assistant
logistics coordinator,2,logistics coordinator
logistics manager,2,logistics manager
logistics officer,2,logistics officer
logistics specialist,2,logistics specialist
logistics supervisor,2,logistics supervisor
logistics employee,2,logistiek medewerker
long term substitute teacher,4,long term substitute teacher
loss prevention,2,loss prevention
loss prevention manager,3,loss prevention manager
loss prevention,1,lp
lpn,1,lpn
lieutenant,1,lt
lvn,1,lvn
m.d,1,m.d
md,1,m.d.
medical assistant,1,ma
machine learning,1,machine learning
machine operator,2,machine operator
machinist,1,machinist
teacher,1,maestra
teacher,1,maestro
storekeeper,1,magasinier
store manager,2,mağaza müdürü
warehouse worker,2,magazijnmedewerker
warehouse worker,2,magazziniere
college student,2,mahasiswa
maintenance,1,maintenance
maintenance coordinator,2,maintenance coordinator
maintenance electrician,2,maintenance electrician
maintenance engineer,2,maintenance engineer
maintenance manager,2,maintenance manager
maintenance mechanic,2,maintenance mechanic
maintenance planner,2,maintenance planner
maintenance supervisor,2,maintenance supervisor
maintenance tech,2,maintenance tech
maintenance technician,2,maintenance technician
maintenance worker,2,maintenance worker
lecturer,1,maître de conférences
major,1,major
major account executive,3,major account executive
major account manager,3,major account manager
makeup artist,2,make-up artist
makeup artist,2,make up artist
makeup artist,2,makeup artist
management,1,management
management accountant,2,management accountant
management analyst,2,management analyst
management assistant,2,management assistant
management assistant,2,management assistent
management associate,2,management associate
management consultant,2,management consultant
management intern,2,management intern
management trainee,2,management trainee
manager,1,manager
manager accounts,2,manager accounts
manager assistant,2,manager assistant
manager business development,3,manager business development
manager customer service,3,manager customer service
manager engineering,2,manager engineering
manager finance,2,manager finance
manager hr,2,manager hr
manager human resources,3,manager human resources
manager in training,3,manager in training
manager it,2,manager it
manager marketing,2,manager marketing
manager of operations,3,manager of operations
manager on duty,3,manager on duty
manager operations,2,manager operations
manager production,2,manager production
manager projects,2,manager projects
manager sales,2,manager sales
managing attorney,2,managing attorney
managing broker,2,managing broker
managing consultant,2,managing consultant
managing director,2,managing director
managing editor,2,managing editor
managing member,2,managing member
managing owner,2,managing owner
managing partner,2,managing partner
managing principal,2,managing principal
gloom,1,maneger
manager,1,manger
maintenance,1,mantenimiento
manufacturing,1,manufacturing
manufacturing engineer,2,manufacturing engineer
manufacturing engineering intern,3,manufacturing engineering intern
manufacturing engineering intern,3,manufacturing engineering manager
manufacturing manager,2,manufacturing manager
manufacturing supervisor,2,manufacturing supervisor
manufacturing technician,2,manufacturing technician
makeup artist,2,maquilladora
marine,1,marine
marine engineer,2,marine engineer
market analyst,2,market analyst
market manager,2,market manager
market research analyst,3,market research analyst
market research intern,3,market research intern
market researcher,2,market researcher
marketer,1,marketer
marketing,1,marketing
marketing administrator,2,marketing administrator
marketing analyst,2,marketing analyst
marketing and communications coordinator,4,marketing and communications coordinator
marketing and communications manager,4,marketing and communications intern
marketing and communications manager,4,marketing and communications manager
marketing and sales intern,4,marketing and sales intern
marketing and sales manager,4,marketing and sales manager
marketing assistant,2,marketing assistant
marketing associate,2,marketing associate
marketing communications,2,marketing communications
marketing communications manager,3,marketing communications manager
marketing communications specialist,3,marketing communications specialist
marketing consultant,2,marketing consultant
marketing coordinator,2,marketing coordinator
marketing director,2,marketing director
marketing executive,2,marketing executive
marketing intern,2,marketing intern
marketing intern,2,marketing internship
marketing manager,2,marketing manager
marketing officer,2,marketing officer
marketing project manager,3,marketing project manager
marketing representative,2,marketing representative
marketing specialist,2,marketing specialist
marketing trainee,2,marketing trainee
martial arts instructor,3,martial arts instructor
mason,1,mason
massage therapist,2,massage therapist
master,1,master
master electrician,2,master electrician
master scheduler,2,master scheduler
master student,2,master student
master thesis,2,master thesis
master thesis student,3,master thesis student
master trainer,2,master trainer
material handler,2,material handler
material planner,2,material planner
materials coordinator,2,materials coordinator
materials manager,2,materials manager
maternity leave,2,maternity leave
math,1,math
math teacher,2,math teacher
math tutor,2,math tutor
mathematics instructor,2,mathematics instructor
mathematics teacher,2,mathematics teacher
mathematics tutor,2,mathematics tutor
higher,1,mayor
mba,1,mba
mba candidate,2,mba candidate
mba student,2,mba student
music composer,1,mc
md,1,md
md and ceo,3,md and ceo
me,1,me
mechanic,1,mecanico
mechanic,1,mecánico
mechanic,1,mecânico
maintenance mechanic,2,mecânico de manutenção
mechanic,1,mechanic
mechanical design engineer,3,mechanical design engineer
mechanical designer,2,mechanical designer
mechanical engineer,2,mechanical engineer
mechanical engineering co-op,3,mechanical engineering co-op
mechanical engineering intern,3,mechanical engineering intern
mechanical fitter,2,mechanical fitter
mechanical supervisor,2,mechanical supervisor
mechanical technician,2,mechanical technician
co-owner,1,mede-eigenaar
doctor,1,medecin
doctor,1,médecin
occupational physician,2,médecin du travail
collaborator,1,medewerker
employee service,2,medewerker bediening
media,1,media
medical assistant,2,media assistant
media buyer,2,media buyer
media consultant,2,media consultant
media coordinator,2,media coordinator
media director,2,media director
media executive,2,media executive
media internly,2,media intern
media manager,2,media manager
media planner,2,media planner
media specialist,2,media specialist
media supervisor,2,media supervisor
mediator,1,mediator
doctor,1,medic
doctor,1,medica
doctor,1,médica
doctor,1,medical
medical administrative assistant,3,medical administrative assistant
medical assistant,2,medical assistant
medical biller,2,medical biller
medical coder,2,medical coder
medical director,2,medical director
medical doctor,2,medical doctor
medical laboratory technician,3,medical laboratory technician
medical office assistant,3,medical office assistant
medical officer,2,medical officer
medical receptionist,2,medical receptionist
medical representative,2,medical representative
medical sales representative,3,medical sales representative
medical scribe,2,medical scribe
medical secretary,2,medical secretary
medical social worker,3,medical social worker
medical student,2,medical student
medical technician,2,medical technician
medical technologist,2,medical technologist
medical transcriptionist,2,medical transcriptionist
doctor,1,medico
doctor,1,médico
veterinary surgeon,2,medico veterinario
veterinarian,1,médico veterinário
member,1,member
member board of directors,4,member board of directors
member of technical staff,4,member of technical staff
member of the board,4,member of the board
member of the board of directors,6,member of the board of directors
member services representative,3,member service representative
member services,2,member services
member services representative,3,member services representative
member technical staff,3,member technical staff
membership director,2,membership director
member,1,membre
officer,1,memur
gloom,1,menager
apprentice,1,menor aprendiz
mental health clinician,3,mental health clinician
mental health counselor,3,mental health counselor
mental health therapist,3,mental health therapist
mental health worker,3,mental health worker
mentor,1,mentor
merchant,1,mercaderista
merchandise manager,2,merchandise manager
merchandiser,1,merchandiser
merchandising manager,2,merchandising manager
meteorologist,1,meteorologist
manager,1,mgr
microbiologist,1,microbiologist
midwife,1,midwife
faculty member,2,miembro del cuerpo docente
military,1,militar
military,1,military
military police,2,military police
military service,2,military service
millwright,1,millwright
architect,1,mimar
mining engineer,2,mining engineer
minister,1,minister
executive,2,mis executive
missionary,1,missionary
mixologist,1,mixologist
machine learning,1,ml
mobile application developer,3,mobile application developer
mobile developer,2,mobile developer
model,1,model
module lead,2,module lead
mom,1,mom
monitor,1,monitor
monitor,1,monitora
assembler,1,montador
mechanic,1,monteur
assembler,1,montör
assembler,1,montør
mortgage advisor,2,mortgage advisor
mortgage banker,2,mortgage banker
mortgage broker,2,mortgage broker
mortgage consultant,2,mortgage consultant
mortgage loan officer,3,mortgage loan officer
mortgage loan originator,3,mortgage loan originator
mortgage loan processor,3,mortgage loan processor
mortgage specialist,2,mortgage specialist
mortgage underwriter,2,mortgage underwriter
mother,1,mother
motion designer,2,motion designer
driver,1,motorista
microsoft,1,ms
msc student,2,msc student
manager,1,müdür
accounting,1,muhasebe
accountant,1,muhasebe sorumlusu
engineer,1,mühendis
multi coded welder,3,multi coded welder
multimedia designer,2,multimedia designer
music director,2,music director
music editor,2,music editor
music producer,2,music producer
music teacher,2,music teacher
musician,1,musician
musician,1,músico
n and a,3,n and a
nothing,1,nada
nail technician,2,nail technician
nanny,1,nanny
national account executive,3,national account executive
national account manager,3,national account manager
national account manager,3,national accounts manager
national key account manager,4,national key account manager
national sales director,3,national sales director
national sales manager,3,national sales manager
ndt technician,2,ndt technician
negotiator,1,negotiator
network,1,network
network admin,2,network admin
network administrator,2,network administrator
network analyst,2,network analyst
network consultant,2,network consultant
network engineer,2,network engineer
network manager,2,network manager
network operations manager,3,network operations manager
network security engineer,3,network security engineer
network specialist,2,network specialist
network support engineer,3,network support engineer
network technician,2,network technician
networker,1,networker
networking,1,networking
new business manager,3,new business manager
news director,2,news director
news editor,2,news editor
news reporter,2,news reporter
ngo,1,ngo
night auditor,2,night auditor
night manager,2,night manager
nil,1,nil
nothing,1,ninguno
nothing,1,no
unemployed,2,no job
unemployed,2,no title
noc engineer,2,noc engineer
nothnig,1,non
non executive director,3,non executive director
nothing,1,none
notary public,2,notary public
nothing,1,nothing
nuclear medicine technologist,3,nuclear medicine technologist
nurse,1,nurse
nurse manager,2,nurse manager
nurse practitioner,2,nurse practitioner
nursing,1,nursing
nursing assistant,2,nursing assistant
nursing instructor,2,nursing instructor
nursing student,2,nursing student
nursing supervisor,2,nursing supervisor
nutritionist,1,nutricionista
nutritionist,1,nutritionist
occupational therapist,2,occupational therapist
dentist,1,odontologa
dentist,1,odontologo
consulant,2,of counsel
officer,1,office
office admin,2,office admin
office administrator,2,office administrator
office assistant,2,office assistant
office clerk,2,office clerk
office coordinator,2,office coordinator
office engineer,2,office engineer
office manager,2,office manager
office mgr,2,office mgr
office staff,2,office staff
office supervisor,2,office supervisor
office worker,2,office worker
officer,1,officer
official,1,oficial
administrative officer,2,oficial administrativo
student,1,öğrenci
teacher,1,öğretmen
oiler,1,oiler
staff,3,on air personality
entrepreneur,1,ondernemer
online marketing manager,3,online marketing manager
operator,1,op
operator,1,operador
cashier,1,operador de caixa
forklift operator,2,operador de empilhadeira
production operator,2,operador de produção
telemarketing operator,2,operador de telemarketing
cashier,1,operadora de caixa
telemarketing operator,2,operadora de telemarketing
operations,2,operaia
worker,1,operaio
operations,2,operaria
worker,1,operario
operating partner,2,operating partner
operations,1,operation
operations director,2,operation director
operations executive,2,operation executive
operations manager,2,operation manager
operations officer,2,operation officer
operation specialist,2,operation specialist
operation supervisor,2,operation supervisor
operational manager,2,operational manager
operations,1,operations
operations administrator,2,operations administrator
operations analyst,2,operations analyst
operations assistant,2,operations assistant
operations associate,2,operations associate
operations consultant,2,operations consultant
operations coordinator,2,operations coordinator
operations director,2,operations director
operations engineer,2,operations engineer
operations executive,2,operations executive
operations intern,2,operations intern
operations manager,2,operations manager
operations officer,2,operations officer
operations specialist,2,operations specialist
operations supervisor,2,operations supervisor
operator,1,operator
operator,1,operatore
ophthalmic technician,2,ophthalmic technician
ophthalmologist,1,ophthalmologist
optician,1,optician
optometric technician,2,optometric technician
optometrist,1,optometrist
oracle consultant,2,oracle consultant
oracle database administrator,3,oracle database administrator
oracle dba,2,oracle dba
oracle developer,2,oracle developer
order picker,2,order picker
organizer,1,organizer
orientation leader,2,orientation leader
orthodontist,1,orthodontist
operating system,1,os
outreach coordinator,2,outreach coordinator
outside sales,2,outside sales
outside sales representative,3,outside sales representative
worker,1,ouvrier
overnight stocker,2,overnight stocker
owner,1,owner
owner operator,2,owner-operator
owner  and  manager,5,owner  and  manager
owner and operator,3,owner  and  operator
owner and president,3,owner  and  president
owner and operator,3,owner and  operator
owner and ceo,3,owner and ceo
owner and designer,3,owner and designer
owner and director,3,owner and director
owner and founder,3,owner and founder
owner and manager,3,owner and manager
owner and operator,3,owner and operator
owner and partner,3,owner and partner
owner and photographer,3,owner and photographer
owner and president,3,owner and president
owner operator,2,owner operator
owner principal,2,owner principal
physician assistant,1,pa
package handler,2,package handler
packer,1,packer
pedagogue,1,pædagog
teaching assistant,2,pædagogmedhjælper
painter,1,painter
para-educator,1,para-educator
para-educator,1,paraeducator
paralegal,1,paralegal
paralegal intern,2,paralegal intern
paramedic,1,paramedic
paraplanner,1,paraplanner
paraprofessional,1,paraprofessional
part-time lecturer,2,part-time lecturer
part-time teacher,2,part-time teacher
part owner,2,part owner
participant,1,participant
partner,1,partner
parts manager,2,parts manager
intern,1,pasante
passenger service agent,3,passenger service agent
past president,2,past president
pastor,1,pastor
pastry chef,2,pastry chef
pastry cook,2,pastry cook
patent attorney,2,patent attorney
patient access representative,3,patient access representative
patient care coordinator,3,patient care coordinator
patient care technician,3,patient care technician
patient service representative,3,patient service representative
boss,1,patron
payroll,1,payroll
payroll administrator,2,payroll administrator
payroll assistant,2,payroll assistant
payroll clerk,2,payroll clerk
payroll coordinator,2,payroll coordinator
payroll manager,2,payroll manager
payroll officer,2,payroll officer
payroll specialist,2,payroll specialist
payroll supervisor,2,payroll supervisor
pc technician,2,pc technician
pca,1,pca
product development,1,pd
ceo,1,pdg
physical education,1,pe
on teacher,2,pe teacher
pedagogue,1,pedagoga
pedagogical employee,2,pedagogisch medewerker
pediatrician,1,pediatra
pediatrician,1,pediatrician
peer advisor,2,peer advisor
peer mentor,2,peer mentor
peer tutor,2,peer tutor
painter,1,peintre
retired,1,pensionato
pensioner,1,pensioner
senior citizen,2,pensionist
pawn,1,peon
pawn,1,peón
performer,1,performer
journalist,1,periodista
personal assistant,2,personal assistant
personal assistant to ceo,4,personal assistant to ceo
personal assistant to managing director,5,personal assistant to managing director
personal banker,2,personal banker
personal care assistant,3,personal care assistant
personal care attendant,3,personal care attendant
personal trainer,2,personal trainer
personnel manager,2,personnel manager
personnel officer,2,personnel officer
personal coach,2,persoonlijk begeleider
researcher,1,pesquisador
petroleum engineer,2,petroleum engineer
petroleum farmer,2,petroleum landman
postgraduate,1,pg
phd student,2,ph.d. student
pharmaceutical sales representative,3,pharmaceutical sales representative
pharmacist,1,pharmacien
pharmacist,1,pharmacist
pharmacist intern,2,pharmacist intern
pharmacy assistant,2,pharmacy assistant
pharmacy intern,2,pharmacy intern
pharmacy manager,2,pharmacy manager
pharmacy tech,2,pharmacy tech
pharmacy technician,2,pharmacy technician
phd,1,phd
phd candidate,2,phd candidate
phd researcher,2,phd researcher
phd student,2,phd student
phlebotomist,1,phlebotomist
photo editor,2,photo editor
photographer,1,photographe
photographer,1,photographer
photojournalist,1,photojournalist
phewlett packard developer,2,php developer
phewlett packard programmer,2,php programmer
physical education teacher,3,physical education teacher
physical therapist,2,physical therapist
physical therapist assistant,3,physical therapist assistant
physical therapy aide,3,physical therapy aide
physician,1,physician
physician assistant,2,physician assistant
physicist,1,physicist
physics teacher,2,physics teacher
physiotherapist,1,physiotherapist
pianist,1,pianist
piano teacher,2,piano teacher
picker,1,picker
freelancer,1,pigiste
pilates instructor,2,pilates instructor
pilot,1,pilot
pilot,1,piloto
painter,1,pintor
pipefitter,1,pipefitter
piping designer,2,piping designer
piping engineer,2,piping engineer
planner,1,planner
planning assistant,2,planning assistant
planning engineer,2,planning engineer
planning intern,2,planning intern
planning manager,2,planning manager
planning officer,2,planning officer
plant controller,2,plant controller
plant engineer,2,plant engineer
plant manager,2,plant manager
plant operator,2,plant operator
plant supervisor,2,plant supervisor
plater,1,plater
platoon leader,2,platoon leader
site manager,2,platschef
player,1,player
plumber,1,plumber
project manager,1,pm
pmo,1,pmo
civil servant,2,pns
podiatrist,1,podiatrist
police,1,police
police constable,2,police constable
police officer,2,police officer
police sergeant,2,police sergeant
policy advisor,2,policy advisor
policy analyst,2,policy analyst
police officer,2,policy officer
carrier,1,porter
portfolio administrator,2,portfolio administrator
portfolio manager,2,portfolio manager
postdoc,1,post-doc
postdoctoral fellow,2,post-doctoral fellow
postdoc,1,post doc
post doctoral fellow,3,post doctoral fellow
postdoc,1,postdoc
postdoctoral associate,2,postdoctoral associate
postdoctoral fellow,2,postdoctoral fellow
postdoctoral research associate,3,postdoctoral research associate
postdoctoral research fellow,3,postdoctoral research fellow
postdoctoral researcher,2,postdoctoral researcher
postmaster,1,postmaster
public relations,1,pr
hr assistant,2,pr assistant
hr consultant,2,pr consultant
pr intern,2,pr intern
pr manager,2,pr manager
professional practice,2,practica profesional
professional practice,2,práctica profesional
practicing,1,practicante
intern,1,prácticas
practice administrator,2,practice administrator
practice manager,2,practice manager
practicum student,2,practicum student
intern,1,praktik
intern,1,praktikant
intern,1,praktikantin
internship,1,praktikum
intern,1,praktykant
practicing lawyer,2,praticante avvocato
pre-sales,1,pre-sales
prep cook,2,prep cook
order picker,2,préparateur de commandes
pres,1,pres
pres,1,pres.
preschool teacher,2,preschool teacher
presenter,1,presenter
president,1,president
president,1,président
president  and  ceo,5,president  and  ceo
president and owner,3,president  and  founder
president and owner,3,president  and  owner
president and ceo,3,president and ceo
president and owner,3,president and founder
president and owner,3,president and owner
president ceo,2,president ceo
ceo,3,président directeur général
president,1,presidente
president,1,présidente
press officer,2,press officer
press operator,2,press operator
pressman,1,pressman
risk prevention,2,prevencionista de riesgos
pricing analyst,2,pricing analyst
pricing manager,2,pricing manager
primary school teacher,3,primary school teacher
primary teacher,2,primary teacher
principal,1,principal
principal architect,2,principal architect
principal broker,2,principal broker
principal consultant,2,principal consultant
principal engineer,2,principal engineer
principal owner,2,principal owner
principal scientist,2,principal scientist
principal software engineer,3,principal software engineer
principle,1,principle
printer,1,printer
private,1,private
private banker,2,private banker
private investigator,2,private investigator
private tutor,2,private tutor
probation officer,2,probation officer
process operator,2,procesoperator
process analyst,2,process analyst
process associate,2,process associate
process consultant,2,process consultant
process engineer,2,process engineer
process engineering intern,3,process engineering intern
process executive,2,process executive
process manager,2,process manager
process operator,2,process operator
process specialist,2,process specialist
process technician,2,process technician
processor,1,processor
attorney,1,procurador
procurement,1,procurement
procurement analyst,2,procurement analyst
procurement coordinator,2,procurement coordinator
procurement manager,2,procurement manager
procurement officer,2,procurement officer
procurement specialist,2,procurement specialist
production,1,produccion
production,1,producción
produce clerk,2,produce clerk
producer,1,producer
producer and director,3,producer and director
product analyst,2,product analyst
product designer,2,product designer
product developer,2,product developer
product development,2,product development
product development engineer,3,product development engineer
product development manager,3,product development manager
product director,2,product director
product engineer,2,product engineer
product executive,2,product executive
product line manager,3,product line manager
product management,2,product management
product manager,2,product manager
product marketing manager,3,product marketing manager
product owner,2,product owner
product specialist,2,product specialist
product support specialist,3,product support specialist
production employee,2,productiemedewerker
production,1,production
