"","str","to","n"
"4601","ingeniero de calidad","quality engineer",2
"3935","ingeniero de desarrollo","development engineer",2
"2666","ingeniero de procesos","process engineer",2
"2667","ingeniero de proyecto","project engineer",2
"1222","ingeniero de proyectos","project engineer",2
"3006","ingeniero de software","software engineer",2
"3649","ingeniero de soporte","support engineer",2
"4602","ingeniero industrial","industrial engineer",2
"2273","ingeniero residente","resident engineer",2
"1518","ingenieur","engineer",1
"1171","ingénieur","engineer",1
"1909","ingénieur commercial","sales engineer",2
"2521","ingénieur d'affaires","business engineer",2
"4603","ingénieur d'étude","engineering studies",2
"2827","ingénieur d'études","engineering studies",2
"3180","ingénieur développement","development engineer",2
"5036","ingénieur logiciel","software engineer",2
"4225","ingénieur r&d","r &amp; d engineer",4
"3396","ingénieur travaux","engineer works",2
"1910","inginer","engineer",1
"669","inhaber","owner",1
"2828","inhaberin","proprietress",1
"5037","Insaat mühendisi","construction engineer",2
"441","insegnante","teacher",1
"543","inside sales","inside sales",2
"3650","inside sales account manager","inside sales account manager",4
"2274","inside sales manager","inside sales manager",3
"3936","inside sales rep","inside sales rep",3
"624","inside sales representative","inside sales representative",3
"2829","inspecteur","inspector",1
"5038","inspection engineer","inspection engineer",2
"544","inspector","inspector",1
"3937","inspetor de qualidade","quality inspector",2
"4604","instalador","installer",1
"5039","installation manager","installation manager",2
"3397","installation technician","installation technician",2
"1290","installer","install",1
"4605","institutional sales","institutional sales",2
"3938","instructional assistant","instructional assistant",2
"1172","instructional designer","instructional designer",2
"71","instructor","instructor",1
"1835","instrument engineer","instrument engineer",2
"1151","instrument technician","instrument technician",2
"3939","instrumentation engineer","instrumentation engineer",2
"3940","instrumentation technician","instrumentation technician",2
"2668","instrutor","instructor",1
"3398","instrutora","instructor",1
"4606","insurance","insurance",1
"1993","insurance advisor","insurance advisor",2
"373","insurance agent","insurance agent",2
"2171","insurance broker","insurance broker",2
"4607","insurance consultant","insurance consultant",2
"4608","insurance coordinator","insurance coordinator",2
"2669","insurance specialist","insurance specialist",2
"4226","intake specialist","intake specialist",2
"1994","intelligence analyst","intelligence analyst",2
"2389","interaction designer","interaction designer",2
"4227","intercedent","agent",1
"5040","interim manager","interim manager",2
"4228","interior architect","interior architect",2
"3941","interior decorator","interior decorator",2
"4229","interior design","interior designer",2
"4609","interior design intern","interior design intern",3
"198","interior designer","interior designer",2
"4610","intermediario assicurativo","insurance intermediary",2
"5","intern","intern",1
"1255","intern architect","intern architect",2
"4230","intern engineer","intern engineer",2
"3651","internal audit","intern auditor",2
"5041","internal audit intern","intern audit intern",3
"2079","internal audit manager","intern audit manager",3
"393","internal auditor","intern auditor",2
"5042","internal medicine resident","intern medicine resident",3
"2670","internal sales","intern sales",2
"3652","international account manager","international account manager",3
"2275","international sales","international sales",2
"1223","international sales manager","international sales manager",3
"670","internee","internee",1
"3399","internet marketing","internet marketing",2
"2830","internet sales manager","internet sales manager",3
"39","internship","internship",1
"2671","internship student","internship student",2
"3400","internship trainee","internship trainee",2
"718","interpreter","interpreter",1
"2831","intervention specialist","intervention specialist",2
"4231","interventional cardiologist","interventional cardiologist",2
"2672","interviewer","interviewer",1
"2522","inventory analyst","inventory analyst",2
"1995","inventory control","inventory control",2
"4232","inventory control specialist","inventory control specialist",3
"4611","inventory controller","inventory control",2
"1421","inventory manager","inventory manager",2
"1699","inventory specialist","inventory specialist",2
"802","investigador","investigator",1
"934","investigator","investigator",1
"1642","investment advisor","investment advisor",2
"1836","investment analyst","investment analyst",2
"1580","investment banking analyst","investment banking analyst",3
"3942","investment banking summer analyst","investment banking summer analyst",4
"2832","investment consultant","investment consultant",2
"4233","investment director","investment director",2
"1378","investment manager","investment manager",2
"5043","investment officer","investment officer",2
"1422","investor","investor",1
"1321","ios developer","ios developer",2
"247","it","it",1
"769","it administrator","it administrator",2
"435","it analyst","it analyst",2
"2390","it architect","it architect",2
"2276","it assistant","it assistant",2
"5044","it associate","it associate",2
"4612","it auditor","it auditor",2
"2277","it business analyst","it business analyst",3
"176","it consultant","it consultant",2
"2673","it coordinator","it coordinator",2
"5045","it developer","ui developer",2
"746","it director","it director",2
"719","it engineer","it engineer",2
"2080","it executive","it executive",2
"2081","it helpdesk","it helpdesk",2
"4234","it instructor","it instructor",2
"978","it intern","it intern",2
"94","it manager","it manager",2
"1196","it officer","it officer",2
"3401","it operations manager","it operations manager",3
"2082","it professional","it professional",2
"442","it project manager","it project manager",3
"1423","it recruiter","it recruiter",2
"5046","it security analyst","it security analyst",3
"244","it specialist","it specialist",2
"3943","it staff","it staff",2
"3181","it supervisor","it supervisor",2
"747","it support","it support",2
"1581","it support analyst","it support analyst",3
"1291","it support engineer","it support engineer",3
"1073","it support specialist","it support specialist",3
"1643","it support technician","it support technician",3
"4613","it supporter","it support",2
"4235","it system administrator","it system administrator",3
"5047","it systems engineer","it systems engineer",3
"509","it technician","it technician",2
"1379","janitor","janitor",1
"436","java developer","java developer",2
"4236","jednatel","jednatel",1
"2523","jefa","boss",1
"671","jefe","boss",1
"3182","jefe administrativo","administrative boss",2
"5048","jefe de almacen","warehouse manager",2
"2833","jefe de cocina","chief",1
"3007","jefe de compras","purchasing manager",2
"3008","jefe de departamento","head of department",3
"2391","jefe de equipo","team leader",2
"2674","jefe de mantenimiento","maintenance manager",2
"820","jefe de obra","construction manager",2
"1582","jefe de operaciones","chief of operations",3
"3653","jefe de personal","chief of staff",3
"3183","jefe de planta","plant manager",2
"3402","jefe de produccion","production manager",2
"3184","jefe de producción","production manager",2
"2083","jefe de proyecto","project manager",2
"1644","jefe de proyectos","project manager",2
"2524","jefe de recursos humanos","head of human resources",4
"4237","jefe de sistemas","chief of systems",3
"4614","jefe de turno","shift manager",2
"1645","jefe de ventas","sales manager",2
"2675","jewelry designer","jewelry designer",2
"3009","job","job",1
"4615","job coach","job coach",2
"2172","job seeker","job seeker",2
"3944","jobstudent","job student",2
"3945","joiner","joiner",1
"1424","jornalista","journalist",1
"4616","journalism intern","journalism intern",2
"187","journalist","journalist",1
"762","journaliste","journalist",1
"3946","journeyman","journeyman",1
"1996","journeyman electrician","journeyman electrician",2
"2173","jovem aprendiz","young apprentice",2
"3185","jubilada","retired",1
"1197","jubilado","retired",1
"3186","judge","judge",1
"3187","judicial intern","judicial intern",2
"3188","judicial law clerk","judicial law clerk",3
"3189","junior account manager","junior account manager",3
"935","junior accountant","junior accountant",2
"3654","junior analyst","junior analyst",2
"1470","junior architect","junior architect",2
"1837","junior associate","junior associate",2
"2084","junior auditor","junior auditor",2
"5049","junior business analyst","junior business analyst",3
"4238","junior buyer","junior buyer",2
"833","junior consultant","junior consultant",2
"1519","junior designer","junior designer",2
"1583","junior developer","junior developer",2
"890","junior engineer","junior engineer",2
"3655","junior graphic designer","senior graphic designer",3
"2834","junior manager","junior manager",2
"3190","junior programmer","junior programs",2
"5050","junior project engineer","junior project engineer",3
"1173","junior project manager","junior project manager",3
"4617","junior research fellow","junior research fellow",3
"3191","junior researcher","junior researcher",2
"1198","junior software developer","junior software developer",3
"2835","junior software engineer","junior software engineer",3
"4618","junior sous chef","junior sous chef",3
"4239","junior web developer","junior web developer",3
"3010","jurist","lawyer",1
"2174","juriste","lawyer",1
"2676","kam","came",1
"1584","karyawan","employee",1
"5051","kassamedewerker","cashier",1
"4240","kelner","waiter",1
"3192","key account","key account",2
"2392","key account executive","key account executive",3
"104","key account manager","key account manager",3
"3193","key account sales manager","key account sales manager",4
"2525","key accounts manager","key account manager",3
"1911","key holder","key holder",2
"2526","keyholder","key holder",2
"821","kindergarten teacher","kindergarten teacher",2
"1912","kitchen assistant","kitchen assistant",2
"3403","kitchen designer","kitchen designer",2
"1152","kitchen manager","kitchen manager",2
"2527","kitchen staff","kitchen staff",2
"4619","kock","chief",1
"4241","kok","how come",2
"3947","konstruktör","constructor",1
"1322","konsulent","consultant",1
"2175","konsult","consultant",1
"1997","kontorassistent","office assistant",2
"979","lab assistant","lab assistant",2
"2393","lab manager","lab manager",2
"2394","lab tech","lab tech",2
"699","lab technician","lab technician",2
"3194","labor","labor",1
"5052","laborant","analyst",1
"5053","laboratory analyst","laboratory analyst",2
"834","laboratory assistant","laboratory assistant",2
"2278","laboratory manager","laboratory manager",2
"384","laboratory technician","laboratory technician",2
"515","laborer","laborer",1
"1764","labourer","laborer",1
"3656","lærer","teacher",1
"2836","land surveyor","land surveyor",2
"3948","landman","countryman",1
"1174","landscape architect","landscape architect",2
"2837","landscape designer","landscape designer",2
"1700","landscaper","landscaper",1
"5054","language teacher","language teacher",2
"2395","lärare","teacher",1
"5055","laurea","graduation",1
"236","law clerk","law clerk",2
"4242","law enforcement","law enforcement",2
"4620","law student","law student",2
"160","lawyer","lawyer",1
"5056","layout artist","layout artist",2
"2279","lead","lead",1
"4621","lead auditor","lead auditor",2
"4243","lead business analyst","lead business analyst",3
"3657","lead cashier","head cashier",2
"1765","lead consultant","lead consultant",2
"3658","lead cook","lead cook",2
"3404","lead designer","lead designer",2
"1175","lead developer","lead developer",2
"5057","lead electrician","lead electrician",2
"555","lead engineer","lead engineer",2
"5058","lead graphic designer","lead graphic designer",3
"4622","lead instructor","lead instructor",2
"5059","lead line cook","lead line cook",3
"5060","lead mechanic","lead mechanic",2
"2396","lead pastor","lead pastor",2
"4623","lead programmer","lead programmer",2
"4624","lead project manager","lead project manager",3
"3949","lead recruiter","lead recruiter",2
"4625","lead software developer","lead software developer",3
"1471","lead software engineer","lead software engineer",3
"1323","lead teacher","lead teacher",2
"1913","lead technician","lead technician",2
"2280","lead teller","lead teller",2
"1701","leader","leader",1
"3659","learning & development manager","learning & development manager",4
"5061","learning specialist","learning specialist",2
"3950","learning support assistant","learning support assistant",3
"1914","leasing agent","leasing agent",2
"1380","leasing consultant","leasing consultant",2
"2397","leasing manager","leasing manager",2
"3660","leasing professional","leasing professional",2
"5062","lector","reader",1
"45","lecturer","lecturer",1
"4626","lecturer in english","lecturer in english",3
"5063","leder","leader",1
"1766","leerkracht","teacher",1
"2528","legal","legal",1
"2281","legal administrative assistant","legal administrative assistant",3
"2282","legal adviser","legal advisor",2
"1199","legal advisor","legal advisor",2
"110","legal assistant","legal assistant",2
"2398","legal consultant","legal consultant",2
"679","legal counsel","legal counsel",2
"5064","legal executive","legal executive",2
"4244","legal extern","legally",1
"180","legal intern","legal intern",2
"3951","legal manager","legal manager",2
"3011","legal officer","legal officer",2
"4245","legal researcher","legal researcher",2
"316","legal secretary","legal secretary",2
"5065","legal specialist","legal specialist",2
"4246","legal trainee","legal trainee",2
"4247","legislative aide","legislative help",2
"3012","legislative assistant","legislative assistant",2
"3405","legislative intern","intern legislation",2
"3661","lehrer","teacher",1
"4627","lehrerin","teacher",1
"3195","lektor","lector",1
"2677","letter carrier","letter carrier",2
"4628","level designer","level designer",2
"4248","liaison officer","liaison officer",2
"936","libero professionista","freelancer",1
"4629","libraire","bookseller",1
"477","librarian","librarian",1
"783","library assistant","library assistant",2
"4249","library director","library director",2
"3952","licensed clinical social worker","licensed clinical social worker",4
"2838","licensed insurance agent","licensed insurance agent",3
"835","licensed massage therapist","licensed massage therapist",3
"4250","licensed mental health counselor","licensed mental health counselor",4
"1381","licensed practical nurse","licensed practical nurse",3
"2399","licensed professional counselor","licensed professional counselor",3
"2400","licensed real estate agent","licensed real estate agent",4
"3406","licensed real estate salesperson","licensed real estate salesperson",4
"1838","licensed realtor","licensed realtor",2
"3953","lid raad van toezicht","member of the supervisory board",5
"4630","lider","leader",1
"4251","lider de proyecto","project leader",2
"1008","lieutenant","lieutenant",1
"2401","life coach","life coach",2
"4252","life insurance agent","life insurance agent",3
"388","lifeguard","lifeguard",1
"3407","lighting designer","lighting designer",2
"2839","lighting technician","lighting technician",2
"469","line cook","line cook",2
"4631","line manager","line manager",2
"5066","line producer","line producer",2
"4253","lineman","lineman",1
"3954","linux system administrator","linux system administrator",3
"3955","litigation associate","litigation associate",2
"1585","litigation paralegal","litigation paralegal",2
"3662","live sound engineer","live sound engineer",3
"4254","lmt","lmt",1
"4632","loader","loader",1
"365","loan officer","loan officer",2
"3196","loan originator","loan originator",2
"1520","loan processor","loan processor",2
"1839","location manager","location manager",2
"4255","locutor","announcer",1
"3408","logistic","logistics",1
"4633","logistic coordinator","logistics coordinator",2
"3663","logistic manager","logistics manager",2
"1586","logistica","logistics",1
"4256","logisticien","logistician",1
"770","logistics","logistics",1
"3013","logistics analyst","logistics analyst",2
"4257","logistics assistant","logistic assistant",2
"564","logistics coordinator","logistics coordinator",2
"362","logistics manager","logistics manager",2
"3664","logistics officer","logistics officer",2
"1324","logistics specialist","logistics specialist",2
"2529","logistics supervisor","logistics supervisor",2
"3665","logistiek medewerker","logistics employee",2
"4258","long term substitute teacher","long term substitute teacher",4
"4259","loss prevention","loss prevention",2
"4634","loss prevention manager","loss prevention manager",3
"317","lpn","lpn",1
"1200","lvn","lvn",1
"3409","m.d","m.d",1
"3666","m.d.","m.d.",1
"2530","ma","ma",1
"419","machine operator","machine operator",2
"680","machinist","machinist",1
"900","maestra","teacher",1
"1425","maestro","teacher",1
"3197","magasinier","storekeeper",1
"4635","magaza müdürü","store manager",2
"3956","magazijnmedewerker","warehouse worker",2
"2678","magazziniere","warehouse worker",2
"3957","mahasiswa","college student",2
"529","maintenance","maintenance",1
"3198","maintenance coordinator","maintenance coordinator",2
"1840","maintenance electrician","maintenance electrician",2
"530","maintenance engineer","maintenance engineer",2
"521","maintenance manager","maintenance manager",2
"2679","maintenance mechanic","maintenance mechanic",2
"1521","maintenance planner","maintenance planner",2
"470","maintenance supervisor","maintenance supervisor",2
"4260","maintenance tech","maintenance tech",2
"681","maintenance technician","maintenance technician",2
"4636","maintenance worker","maintenance worker",2
"3410","maître de conférences","lecturer",1
"2840","major","major",1
"3958","major account executive","major account executive",3
"2402","major account manager","major account manager",3
"4261","make-up artist","makeup artist",2
"3667","make up artist","makeup artist",2
"1153","makeup artist","makeup artist",2
"471","management","management",1
"682","management accountant","management accountant",2
"2283","management analyst","management analyst",2
"730","management assistant","management assistant",2
"3959","management assistent","management assistant",2
"3960","management associate","management associate",2
"465","management consultant","management consultant",2
"2284","management intern","management intern",2
"178","management trainee","management trainee",2
"2","manager","manager",1
"1998","manager accounts","manager accounts",2
"2085","manager assistant","manager assistant",2
"1999","manager business development","manager business development",3
"2403","manager customer service","manager customer service",3
"5067","manager engineering","manager engineering",2
"2404","manager finance","manager finance",2
"4637","manager hr","manager hr",2
"3668","manager human resources","manager human resources",3
"2531","manager in training","manager in training",3
"3961","manager it","manager it",2
"1915","manager marketing","manager marketing",2
"3199","manager of operations","manager of operations",3
"5068","manager on duty","manager on duty",3
"1054","manager operations","manager operations",2
"4262","manager production","manager production",2
"4263","manager projects","manager projects",2
"2086","manager sales","manager sales",2
"5069","managing attorney","managing attorney",2
"3669","managing broker","managing broker",2
"891","managing consultant","managing consultant",2
"17","managing director","managing director",2
"720","managing editor","managing editor",2
"803","managing member","managing member",2
"4638","managing owner","managing owner",2
"130","managing partner","managing partner",2
"3014","managing principal","managing principal",2
"3200","maneger","gloom",1
"1201","manger","manager",1
"2841","mantenimiento","maintenance",1
"3201","manufacturing","manufacturing",1
"309","manufacturing engineer","manufacturing engineer",2
"5070","manufacturing engineering intern","manufacturing engineering intern",3
"5071","manufacturing engineering manager","manufacturing engineering intern",3
"1472","manufacturing manager","manufacturing manager",2
"1916","manufacturing supervisor","manufacturing supervisor",2
"2000","manufacturing technician","manufacturing technician",2
"4264","maquilladora","makeup artist",2
"4265","marine","marine",1
"2680","marine engineer","marine engineer",2
"2405","market analyst","market analyst",2
"1325","market manager","market manager",2
"1841","market research analyst","market research analyst",3
"5072","market research intern","market research intern",3
"2001","market researcher","market researcher",2
"2176","marketer","marketer",1
"77","marketing","marketing",1
"5073","marketing administrator","marketing administrator",2
"1028","marketing analyst","marketing analyst",2
"4639","marketing and communications coordinator","marketing and communications coordinator",4
"5074","marketing and communications intern","marketing and communications manager",4
"3962","marketing and communications manager","marketing and communications manager",4
"4640","marketing and sales intern","marketing and sales intern",4
"3202","marketing and sales manager","marketing and sales manager",4
"136","marketing assistant","marketing assistant",2
"683","marketing associate","marketing associate",2
"3963","marketing communications","marketing communications",2
"1522","marketing communications manager","marketing communications manager",3
"3670","marketing communications specialist","marketing communications specialist",3
"443","marketing consultant","marketing consultant",2
"137","marketing coordinator","marketing coordinator",2
"172","marketing director","marketing director",2
"185","marketing executive","marketing executive",2
"99","marketing intern","marketing intern",2
"3411","marketing internship","marketing intern",2
"40","marketing manager","marketing manager",2
"853","marketing officer","marketing officer",2
"1767","marketing project manager","marketing project manager",3
"1326","marketing representative","marketing representative",2
"531","marketing specialist","marketing specialist",2
"2406","marketing trainee","marketing trainee",2
"5075","martial arts instructor","martial arts instructor",3
"3671","mason","mason",1
"448","massage therapist","massage therapist",2
"1382","master","master",1
"5076","master electrician","master electrician",2
"3672","master scheduler","master scheduler",2
"1523","master student","master student",2
"1917","master thesis","master thesis",2
"3964","master thesis student","master thesis student",3
"4641","master trainer","master trainer",2
"1327","material handler","material handler",2
"4642","material planner","material planner",2
"3673","materials coordinator","materials coordinator",2
"954","materials manager","materials manager",2
"3965","maternity leave","maternity leave",2
"684","math teacher","math teacher",2
"1587","math tutor","math tutor",2
"3203","mathematics instructor","mathematics instructor",2
"937","mathematics teacher","mathematics teacher",2
"2285","mathematics tutor","mathematics tutor",2
"3674","mayor","higher",1
"4266","mba","mba",1
"3412","mba candidate","mba candidate",2
"4643","mba student","mba student",2
"154","md","md",1
"3413","md/ceo","md/ceo",1
"3015","me","me",1
"1202","mecanico","mechanic",1
"3966","mecánico","mechanic",1
"4644","mecânico","mechanic",1
"3675","mecânico de manutenção","maintenance mechanic",2
"348","mechanic","mechanic",1
"609","mechanical design engineer","mechanical design engineer",3
"873","mechanical designer","mechanical designer",2
"105","mechanical engineer","mechanical engineer",2
"4645","mechanical engineering co-op","mechanical engineering co-op",3
"1256","mechanical engineering intern","mechanical engineering intern",3
"2002","mechanical fitter","mechanical fitter",2
"1918","mechanical supervisor","mechanical supervisor",2
"1126","mechanical technician","mechanical technician",2
"2842","mede-eigenaar","co-owner",1
"3414","medecin","doctor",1
"2532","médecin","doctor",1
"5077","médecin du travail","occupational physician",2
"1009","medewerker","collaborator",1
"3204","medewerker bediening","employee service",2
"1919","media","doctor",1
"2177","media assistant","medical assistant",2
"5078","media buyer","media buyer",2
"2681","media consultant","media consultant",2
"3967","media coordinator","media coordinator",2
"2286","media director","half director",2
"3676","media executive","media executive",2
"3415","media intern","media internly",2
"2178","media manager","media manager",2
"1920","media planner","media planner",2
"2407","media specialist","media specialist",2
"2843","media supervisor","half supervisor",2
"3205","mediator","mediator",1
"3968","medic","doctor",1
"3969","medica","doctor",1
"2844","médica","medical",1
"4646","medical","doctor",1
"5079","medical administrative assistant","medical administrative assistant",3
"229","medical assistant","medical assistant",2
"1524","medical biller","medical biller",2
"2179","medical coder","medical coder",2
"771","medical director","medical director",2
"455","medical doctor","medical doctor",2
"2533","medical laboratory technician","medical laboratory technician",3
"2845","medical office assistant","medical office assistant",3
"1096","medical officer","medical officer",2
"1176","medical receptionist","medical receptionist",2
"486","medical representative","medical representative",2
"2287","medical sales representative","medical sales representative",3
"3970","medical scribe","medical scribe",2
"1127","medical secretary","medical secretary",2
"2846","medical social worker","medical social worker",3
"2408","medical student","medical student",2
"4647","medical technician","medical technician",2
"1525","medical technologist","medical technologist",2
"1224","medical transcriptionist","medical transcriptionist",2
"295","medico","doctor",1
"874","médico","doctor",1
"3016","medico veterinario","veterinary surgeon",2
"4648","médico veterinário","veterinarian",1
"169","member","member",1
"1225","member board of directors","member board of directors",4
"938","member of technical staff","member of technical staff",4
"1203","member of the board","member of the board",4
"1921","member of the board of directors","member of the board of directors",6
"4267","member service representative","member services representative",3
"3677","member services","member services",2
"3416","member services representative","member services representative",3
"3017","member technical staff","member technical staff",3
"3206","membership director","membership director",2
"3971","membre","member",1
"2288","memur","officer",1
"5080","menager","gloom",1
"3207","menor aprendiz","apprentice",1
"4649","mental health clinician","mental health clinician",3
"3972","mental health counselor","mental health counselor",3
"2682","mental health therapist","mental health therapist",3
"3417","mental health worker","mental health worker",3
"635","mentor","mentor",1
"5081","mercaderista","merchant",1
"2409","merchandise manager","merchandise manager",2
"196","merchandiser","merchandiser",1
"2289","merchandising manager","merchandising manager",2
"5082","meteorologist","meteorologist",1
"1426","mgr","m.sc.",1
"1383","microbiologist","microbiologist",1
"2180","midwife","midwife",1
"4268","miembro del cuerpo docente","faculty member",2
"2181","militar","military",1
"1702","military","military",1
"2182","military police","military police",2
"3973","military service","military service",2
"1328","millwright","millwright",1
"3018","mimar","architect",1
"3208","mining engineer","mining engineer",2
"1226","minister","minister",1
"4269","mis","what",1
"3974","mis executive","mis executive",2
"2410","miss","miss",1
"1922","missionary","missionary",1
"5083","mixologist","mixologist",1
"2847","mobile application developer","mobile application developer",3
"4650","mobile developer","mobile developer",2
"705","model","model",1
"2183","module lead","module lead",2
"939","mom","mom",1
"1010","monitor","monitor",1
"2087","monitora","monitor",1
"2848","montador","assembler",1
"2003","monteur","mechanic",1
"5084","montör","fitter",1
"4651","montør","fitter",1
"5085","mortgage advisor","mortgage advisor",2
"1768","mortgage banker","mortgage banker",2
"2683","mortgage broker","mortgage broker",2
"2849","mortgage consultant","mortgage consultant",2
"1128","mortgage loan officer","mortgage loan officer",3
"2534","mortgage loan originator","mortgage loan originator",3
"2184","mortgage loan processor","mortgage loan processor",3
"3678","mortgage specialist","mortgage specialist",2
"3679","mortgage underwriter","mortgage underwriter",2
"1646","mother","mother",1
"3209","motion designer","motion designer",2
"689","motorista","driver",1
"327","mr","mr",1
"1427","mr.","mr.",1
"1154","mrs","mrs",1
"2850","ms","ms",1
"4270","msc student","msc student",2
"4652","mts","mts",1
"1703","müdür","manager",1
"2290","muhasebe","accounting",1
"4653","muhasebe sorumlusu","accountant",1
"3019","mühendis","engineer",1
"3680","multi coded welder","multi coded welder",3
"2684","multimedia designer","multimedia designer",2
"2004","music director","music director",2
"3975","music editor","music editor",2
"2411","music producer","music producer",2
"643","music teacher","music teacher",2
"589","musician","musician",1
"3976","músico","musician",1
"321","n/a","n/a",1
"1428","na","on",1
"3418","nada","nothing",1
"4654","nail technician","nail technician",2
"413","nanny","nanny",1
"2185","national account executive","national account executive",3
"437","national account manager","national account manager",3
"3020","national accounts manager","national account manager",3
"3977","national key account manager","national key account manager",4
"3978","national sales director","national sales director",3
"438","national sales manager","national sales manager",3
"3681","ndt technician","ndt technician",2
"4271","negotiator","negotiator",1
"3979","network","network",1
"2088","network admin","network admin",2
"223","network administrator","network administrator",2
"2291","network analyst","network analyst",2
"3682","network consultant","network consultant",2
"115","network engineer","network engineer",2
"2186","network manager","network manager",2
"4272","network operations manager","network operations manager",3
"4655","network security engineer","network security engineer",3
"2187","network specialist","network specialist",2
"4273","network support engineer","network support engineer",3
"1647","network technician","network technician",2
"2412","networker","networker",1
"3419","networking","networking",1
"3980","new business manager","new business manager",3
"4274","news director","news director",2
"2413","news editor","news editor",2
"1526","news reporter","news reporter",2
"4656","ngo","dainty",1
"2005","night auditor","night auditor",2
"2685","night manager","night manager",2
"3021","nil","nil",1
"1842","ninguno","none",1
"854","no","no",1
"4657","no job","no job",2
"3683","no title","no title",2
"3420","noc engineer","night engineer",2
"2089","non","not",1
"1292","non executive director","non executive director",3
"177","none","none",1
"2292","notary public","notary public",2
"4275","nothing","nothing",1
"2851","nuclear medicine technologist","nuclear medicine technologist",3
"125","nurse","nurse",1
"1769","nurse manager","nurse manager",2
"644","nurse practitioner","nurse practitioner",2
"1429","nursing","nursing",1
"1473","nursing assistant","nursing assistant",2
"3981","nursing instructor","nursing instructor",2
"3684","nursing student","nursing student",2
"4276","nursing supervisor","nursing supervisor",2
"1011","nutricionista","nutritionist",1
"2293","nutritionist","nutritionist",1
"500","occupational therapist","occupational therapist",2
"3685","odontologa","odontologa",1
"4277","odontologo","odontologa",1
"1257","of counsel","of counsel",2
"1588","office","officer",1
"3210","office admin","office admin",2
"186","office administrator","office administrator",2
"91","office assistant","office assistant",2
"918","office clerk","office clerk",2
"721","office coordinator","office coordinator",2
"4658","office engineer","office engineer",2
"23","office manager","office manager",2
"4659","office mgr","office mgr",2
"3982","office staff","office staff",2
"3421","office supervisor","office supervisor",2
"2535","office worker","office worker",2
"224","officer","officer",1
"2414","oficial","official",1
"3022","oficial administrativo","administrative officer",2
"3211","ögrenci","student",1
"1097","ögretmen","teacher",1
"3422","oiler","oiler",1
"4278","on air personality","on air personality",3
"3423","ondernemer","entrepreneur",1
"3023","online marketing manager","online marketing manager",3
"875","operador","operator",1
"4279","operador de caixa","cashier",1
"3686","operador de empilhadeira","forklift operator",2
"2090","operador de produção","production operator",2
"2852","operador de telemarketing","telemarketing operator",2
"1770","operadora de caixa","cashier",1
"3212","operadora de telemarketing","telemarketing operator",2
"4280","operaia","factory girl",2
"598","operaio","worker",1
"4281","operaria","factory girl",2
"1098","operario","worker",1
"4660","operating partner","operating partner",2
"2853","operation","operations",1
"4282","operation director","operations director",2
"3024","operation executive","operations executive",2
"522","operation manager","operations manager",2
"3983","operation officer","operations officer",2
"4283","operation specialist","operation specialist",2
"3025","operation supervisor","operation supervisor",2
"1923","operational manager","operational manager",2
"371","operations","operations",1
"3213","operations administrator","operations administrator",2
"822","operations analyst","operations analyst",2
"1029","operations assistant","operations assistant",2
"2854","operations associate","operations associate",2
"3424","operations consultant","operations consultant",2
"836","operations coordinator","operations coordinator",2
"494","operations director","operations director",2
"2415","operations engineer","operations engineer",2
"1527","operations executive","operations executive",2
"2416","operations intern","operations intern",2
"29","operations manager","operations manager",2
"1430","operations officer","operations officer",2
"1204","operations specialist","operations specialist",2
"335","operations supervisor","operations supervisor",2
"221","operator","operator",1
"4661","operatore","operator",1
"3214","ophthalmic technician","ophthalmic technician",2
"2006","ophthalmologist","ophthalmologist",1
"2294","optician","optician",1
"4284","optometric technician","optometric technician",2
"1474","optometrist","optometrist",1
"2417","oracle consultant","oracle consultant",2
"4662","oracle database administrator","oracle database administrator",3
"1704","oracle dba","oracle dba",2
"2091","oracle developer","oracle developer",2
"3215","order picker","order picker",2
"1771","organizer","organizer",1
"2686","orientation leader","orientation leader",2
"2418","orthodontist","orthodontist",1
"3026","outreach coordinator","outreach coordinator",2
"876","outside sales","outside sales",2
"877","outside sales representative","outside sales representative",3
"4285","ouvrier","worker",1
"3984","overnight stocker","overnight stocker",2
"1","owner","owner",1
"3687","owner-operator","owner/operator",1
"4663","owner & president","owner/president",1
"2536","owner / manager","owner/manager",1
"1293","owner / operator","owner/operator",1
"2188","owner / president","owner/president",1
"4664","owner and manager","owner and manager",3
"3216","owner and operator","owner and operator",3
"532","owner operator","owner/operator",1
"4286","owner principal","owner principal",2
"2092","owner/ operator","owner/operator",1
"2855","owner/ceo","owner/ceo",1
"2856","owner/designer","owner/designer",1
"1648","owner/director","owner/director",1
"3985","owner/founder","owner/founder",1
"706","owner/manager","owner/manager",1
"312","owner/operator","owner/operator",1
"3217","owner/partner","owner partner",2
"2007","owner/photographer","owner/photographer",1
"1155","owner/president","owner/president",1
"707","pa","well",1
"1843","package handler","package handler",2
"2687","packer","packer",1
"1589","pædagog","pedagogue",1
"4287","pædagogmedhjælper","teaching assistant",2
"619","painter","painter",1
"4665","para-educator","para-educator",1
"4666","paraeducator","para-educator",1
"113","paralegal","paralegal",1
"4667","paralegal intern","paralegal intern",2
"655","paramedic","paramedic",1
"3425","paraplanner","paraplanner",1
"1129","paraprofessional","paraprofessional",1
"2419","part-time lecturer","part-time lecturer",2
"4288","part-time teacher","part-time teacher",2
"4289","part owner","part owner",2
"1431","participant","participant",1
"30","partner","partner",1
"1099","parts manager","parts manager",2
"690","pasante","intern",1
